Epoch: 072, Loss: 3.3386, Train: 1.1511, Val: 1.1684, Test: 1.1671
Epoch: 073, Loss: 3.3292, Train: 1.1500, Val: 1.1680, Test: 1.1667
Epoch: 074, Loss: 3.3164, Train: 1.1381, Val: 1.1569, Test: 1.1558
Epoch: 075, Loss: 3.3016, Train: 1.1272, Val: 1.1468, Test: 1.1458
Epoch: 076, Loss: 3.2912, Train: 1.1265, Val: 1.1467, Test: 1.1457
Epoch: 077, Loss: 3.2793, Train: 1.1357, Val: 1.1563, Test: 1.1552
Epoch: 078, Loss: 3.2653, Train: 1.1455, Val: 1.1665, Test: 1.1653
Epoch: 079, Loss: 3.2549, Train: 1.1455, Val: 1.1671, Test: 1.1659
Epoch: 080, Loss: 3.2438, Train: 1.1355, Val: 1.1579, Test: 1.1568
Epoch: 081, Loss: 3.2311, Train: 1.1254, Val: 1.1486, Test: 1.1476
Epoch: 082, Loss: 3.2214, Train: 1.1241, Val: 1.1480, Test: 1.1471
Epoch: 083, Loss: 3.2108, Train: 1.1310, Val: 1.1553, Test: 1.1543
Epoch: 084, Loss: 3.1996, Train: 1.1368, Val: 1.1615, Test: 1.1606
Epoch: 085, Loss: 3.1908, Train: 1.1331, Val: 1.1584, Test: 1.1576
Epoch: 086, Loss: 3.1808, Train: 1.1228, Val: 1.1491, Test: 1.1485
Epoch: 087, Loss: 3.1710, Train: 1.1168, Val: 1.1438, Test: 1.1434
Epoch: 088, Loss: 3.1628, Train: 1.1199, Val: 1.1474, Test: 1.1471
Epoch: 089, Loss: 3.1532, Train: 1.1264, Val: 1.1542, Test: 1.1540
Epoch: 090, Loss: 3.1449, Train: 1.1261, Val: 1.1546, Test: 1.1545
Epoch: 091, Loss: 3.1368, Train: 1.1183, Val: 1.1477, Test: 1.1478
Epoch: 092, Loss: 3.1282, Train: 1.1128, Val: 1.1430, Test: 1.1433
Epoch: 093, Loss: 3.1211, Train: 1.1158, Val: 1.1464, Test: 1.1469
Epoch: 094, Loss: 3.1132, Train: 1.1219, Val: 1.1529, Test: 1.1534
Epoch: 095, Loss: 3.1065, Train: 1.1214, Val: 1.1530, Test: 1.1537
Epoch: 096, Loss: 3.0998, Train: 1.1149, Val: 1.1474, Test: 1.1482
Epoch: 097, Loss: 3.0933, Train: 1.1121, Val: 1.1452, Test: 1.1461
Epoch: 098, Loss: 3.0875, Train: 1.1166, Val: 1.1499, Test: 1.1509
Epoch: 099, Loss: 3.0813, Train: 1.1205, Val: 1.1542, Test: 1.1552
Epoch: 100, Loss: 3.0761, Train: 1.1171, Val: 1.1513, Test: 1.1525
Epoch: 101, Loss: 3.0705, Train: 1.1119, Val: 1.1468, Test: 1.1480
Epoch: 102, Loss: 3.0656, Train: 1.1131, Val: 1.1483, Test: 1.1496
Epoch: 103, Loss: 3.0605, Train: 1.1176, Val: 1.1529, Test: 1.1543
Epoch: 104, Loss: 3.0558, Train: 1.1166, Val: 1.1521, Test: 1.1537
Epoch: 105, Loss: 3.0511, Train: 1.1113, Val: 1.1474, Test: 1.1492
Epoch: 106, Loss: 3.0466, Train: 1.1106, Val: 1.1469, Test: 1.1489
Epoch: 107, Loss: 3.0423, Train: 1.1145, Val: 1.1506, Test: 1.1528
Epoch: 108, Loss: 3.0379, Train: 1.1146, Val: 1.1508, Test: 1.1531
Epoch: 109, Loss: 3.0338, Train: 1.1101, Val: 1.1466, Test: 1.1491
Epoch: 110, Loss: 3.0296, Train: 1.1092, Val: 1.1458, Test: 1.1485
Epoch: 111, Loss: 3.0256, Train: 1.1127, Val: 1.1491, Test: 1.1519
Epoch: 112, Loss: 3.0217, Train: 1.1124, Val: 1.1488, Test: 1.1518
Epoch: 113, Loss: 3.0178, Train: 1.1083, Val: 1.1449, Test: 1.1481
Epoch: 114, Loss: 3.0140, Train: 1.1084, Val: 1.1449, Test: 1.1483
Epoch: 115, Loss: 3.0102, Train: 1.1114, Val: 1.1477, Test: 1.1511
Epoch: 116, Loss: 3.0065, Train: 1.1096, Val: 1.1461, Test: 1.1496
Epoch: 117, Loss: 3.0028, Train: 1.1063, Val: 1.1429, Test: 1.1467
Epoch: 118, Loss: 2.9992, Train: 1.1082, Val: 1.1446, Test: 1.1485
Epoch: 119, Loss: 2.9955, Train: 1.1097, Val: 1.1460, Test: 1.1500
Epoch: 120, Loss: 2.9921, Train: 1.1065, Val: 1.1431, Test: 1.1473
Epoch: 121, Loss: 2.9885, Train: 1.1059, Val: 1.1425, Test: 1.1469
Epoch: 122, Loss: 2.9850, Train: 1.1084, Val: 1.1449, Test: 1.1495
Epoch: 123, Loss: 2.9814, Train: 1.1070, Val: 1.1437, Test: 1.1485
Epoch: 124, Loss: 2.9773, Train: 1.1056, Val: 1.1427, Test: 1.1477
Epoch: 125, Loss: 2.9724, Train: 1.1096, Val: 1.1467, Test: 1.1525
Epoch: 126, Loss: 2.9680, Train: 1.1077, Val: 1.1451, Test: 1.1516
Epoch: 127, Loss: 2.9648, Train: 1.1017, Val: 1.1394, Test: 1.1458
Epoch: 128, Loss: 2.9603, Train: 1.1069, Val: 1.1443, Test: 1.1502
Epoch: 129, Loss: 2.9560, Train: 1.1039, Val: 1.1415, Test: 1.1474
Epoch: 130, Loss: 2.9521, Train: 1.0974, Val: 1.1357, Test: 1.1419
Epoch: 131, Loss: 2.9479, Train: 1.1047, Val: 1.1430, Test: 1.1499
Epoch: 132, Loss: 2.9429, Train: 1.1027, Val: 1.1419, Test: 1.1491
Epoch: 133, Loss: 2.9387, Train: 1.0953, Val: 1.1352, Test: 1.1426
Epoch: 134, Loss: 2.9345, Train: 1.1065, Val: 1.1461, Test: 1.1534
Epoch: 135, Loss: 2.9299, Train: 1.0923, Val: 1.1325, Test: 1.1399
Epoch: 136, Loss: 2.9253, Train: 1.1012, Val: 1.1412, Test: 1.1487
Epoch: 137, Loss: 2.9201, Train: 1.0984, Val: 1.1390, Test: 1.1467
Epoch: 138, Loss: 2.9145, Train: 1.0939, Val: 1.1352, Test: 1.1432
Epoch: 139, Loss: 2.9101, Train: 1.1013, Val: 1.1423, Test: 1.1505
